,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
557,male,group C,master's degree,free/reduced,none,61,67,66
462,female,group E,some college,standard,none,71,70,76
424,male,group B,some college,free/reduced,none,41,39,34
880,male,group C,bachelor's degree,standard,completed,63,64,66
303,male,group B,associate's degree,standard,none,80,76,64
884,female,group E,associate's degree,standard,none,51,51,54
689,male,group E,some college,free/reduced,none,93,90,83
219,male,group B,some high school,standard,completed,61,56,56
870,male,group B,high school,standard,none,59,58,47
296,male,group A,some high school,standard,completed,46,41,43
21,female,group B,some college,free/reduced,completed,65,75,70
760,female,group C,high school,free/reduced,none,53,72,64
420,female,group C,associate's degree,free/reduced,completed,82,93,93
325,female,group C,some college,standard,none,82,90,94
199,female,group B,bachelor's degree,free/reduced,none,78,79,76
450,female,group C,some college,free/reduced,completed,64,85,85
137,male,group E,high school,standard,none,70,55,56
536,male,group C,associate's degree,standard,completed,51,60,58
696,female,group C,associate's degree,standard,completed,75,82,90
717,female,group C,associate's degree,standard,completed,96,96,99
646,female,group D,associate's degree,standard,none,59,70,65
628,male,group D,some college,free/reduced,none,49,57,46
212,female,group C,high school,free/reduced,none,42,62,60
961,female,group D,some high school,free/reduced,none,48,54,53
934,male,group C,associate's degree,standard,completed,98,87,90
921,female,group C,high school,free/reduced,none,35,53,46
505,female,group B,some high school,standard,none,82,82,80
815,male,group B,some high school,standard,completed,94,86,87
231,male,group C,associate's degree,standard,none,46,43,42
405,female,group C,some high school,standard,none,63,73,68
729,male,group C,some college,standard,none,53,39,37
568,male,group B,high school,free/reduced,none,63,48,47
317,male,group C,associate's degree,standard,none,83,72,78
183,female,group D,associate's degree,standard,none,65,69,70
856,male,group B,some college,free/reduced,none,75,68,65
854,male,group C,some high school,standard,none,62,64,55
693,female,group D,associate's degree,standard,none,77,77,73
609,female,group B,associate's degree,standard,none,58,63,65
626,male,group B,associate's degree,free/reduced,completed,69,70,63
485,male,group C,high school,standard,none,70,74,71
278,female,group C,some high school,free/reduced,none,65,86,80
630,male,group D,some college,standard,none,67,64,70
20,male,group D,high school,standard,none,66,69,63
170,male,group A,high school,standard,completed,72,73,74
401,male,group A,some college,standard,none,53,43,43
924,male,group D,high school,free/reduced,none,74,70,69
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
176,female,group B,high school,free/reduced,completed,46,54,58
327,male,group A,some college,free/reduced,none,28,23,19
706,male,group D,high school,standard,none,46,34,36
198,female,group B,some college,free/reduced,none,45,53,55
470,female,group C,associate's degree,standard,completed,83,85,90
842,female,group B,high school,free/reduced,completed,23,44,36
694,female,group C,some high school,standard,none,49,63,56
266,female,group C,bachelor's degree,standard,none,63,75,81
615,female,group C,high school,standard,none,60,68,72
732,female,group C,some college,standard,completed,87,89,94
492,female,group C,some college,standard,none,83,83,90
130,male,group D,master's degree,standard,none,89,84,82
338,female,group B,some high school,free/reduced,none,24,38,27
851,female,group A,high school,standard,none,61,68,63
489,male,group A,associate's degree,free/reduced,completed,79,82,82
572,female,group C,some college,standard,none,53,62,56
606,female,group C,associate's degree,standard,none,85,84,82
193,male,group D,some college,standard,completed,77,62,62
140,female,group D,some high school,standard,none,76,72,71
416,male,group C,bachelor's degree,standard,completed,71,74,68
660,male,group C,some college,free/reduced,none,74,77,73
476,male,group E,bachelor's degree,standard,completed,76,62,66
714,female,group B,some high school,standard,completed,60,70,74
152,female,group B,associate's degree,standard,completed,59,70,66
849,male,group D,associate's degree,standard,none,80,75,69
898,male,group D,associate's degree,standard,completed,67,54,63
10,male,group C,associate's degree,standard,none,58,54,52
269,female,group E,some college,free/reduced,none,71,76,70
96,male,group B,some high school,standard,completed,65,66,62
210,male,group D,some high school,free/reduced,completed,80,79,79
984,female,group C,some high school,standard,none,74,75,82
752,male,group C,master's degree,free/reduced,completed,79,77,75
569,male,group D,bachelor's degree,free/reduced,none,68,68,67
813,male,group E,some high school,standard,completed,87,84,76
775,female,group B,some high school,free/reduced,none,49,58,55
548,female,group C,high school,free/reduced,none,62,67,64
943,male,group A,some high school,free/reduced,completed,61,62,61
532,male,group E,associate's degree,standard,completed,62,61,58
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74
332,male,group E,associate's degree,standard,completed,62,56,53
75,male,group B,associate's degree,free/reduced,none,44,41,38
712,female,group D,some college,standard,none,98,100,99
77,male,group A,bachelor's degree,standard,completed,80,78,81
263,female,group E,high school,standard,none,99,93,90
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
149,male,group E,associate's degree,free/reduced,completed,100,100,93
932,male,group D,associate's degree,free/reduced,completed,61,71,73
514,female,group B,master's degree,free/reduced,completed,77,97,94
940,male,group C,master's degree,free/reduced,completed,72,66,72
469,male,group C,some college,standard,none,91,74,76
564,male,group B,bachelor's degree,free/reduced,none,48,51,46
774,male,group B,some college,standard,none,66,65,60
461,male,group B,some college,free/reduced,none,54,54,45
253,male,group D,master's degree,standard,none,80,80,72
771,male,group D,bachelor's degree,standard,none,75,73,74
845,male,group E,master's degree,standard,none,90,85,84
369,female,group D,some high school,standard,none,73,84,85
321,female,group E,high school,standard,none,75,86,79
695,female,group D,some college,free/reduced,none,79,89,86
151,male,group A,bachelor's degree,standard,none,77,67,68
949,female,group E,high school,free/reduced,completed,57,75,73
302,female,group C,associate's degree,standard,completed,67,84,81
190,female,group E,associate's degree,standard,none,66,65,69
586,female,group A,high school,standard,none,55,73,73
348,male,group D,high school,free/reduced,none,75,74,66
243,male,group E,some college,standard,none,59,51,43
793,male,group E,some high school,standard,completed,89,84,77
87,female,group D,associate's degree,standard,none,71,71,74
751,male,group E,some college,standard,none,68,72,65
655,female,group B,some college,standard,none,62,67,67
909,male,group E,bachelor's degree,standard,completed,70,64,70
778,female,group A,some college,standard,completed,72,79,82
418,male,group D,some college,standard,none,68,59,62
288,male,group B,bachelor's degree,free/reduced,none,88,75,76
648,female,group B,high school,standard,none,50,53,55
166,male,group C,high school,free/reduced,completed,53,51,51
595,female,group C,bachelor's degree,standard,completed,56,79,72
937,female,group E,high school,free/reduced,none,57,58,57
155,female,group C,some college,standard,completed,70,89,88
356,male,group A,associate's degree,standard,none,63,61,61
381,male,group C,associate's degree,standard,completed,87,100,95
279,male,group B,bachelor's degree,free/reduced,none,73,56,57
126,male,group B,some high school,standard,none,72,68,67
707,male,group C,some college,standard,none,66,59,52
777,female,group C,some college,free/reduced,none,35,44,43
22,male,group D,some college,standard,none,44,54,53
616,female,group E,bachelor's degree,standard,none,37,45,38
665,female,group C,some high school,free/reduced,completed,50,60,60
282,female,group D,bachelor's degree,free/reduced,none,73,79,84
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
471,female,group C,high school,standard,none,63,69,74
738,male,group D,associate's degree,standard,none,81,71,73
367,male,group C,bachelor's degree,free/reduced,none,61,66,61
25,male,group A,master's degree,free/reduced,none,73,74,72
196,male,group C,some high school,free/reduced,completed,59,69,65
64,female,group D,some high school,standard,none,59,58,59
15,female,group C,some high school,standard,none,69,75,78
466,female,group D,associate's degree,free/reduced,none,26,31,38
297,male,group E,associate's degree,standard,completed,71,74,68
883,male,group D,bachelor's degree,free/reduced,none,55,46,44
621,male,group B,bachelor's degree,free/reduced,none,62,63,56
336,male,group D,some high school,standard,completed,76,70,69
820,female,group A,some high school,standard,completed,85,90,92
26,male,group B,some college,standard,none,69,54,55
588,female,group C,some college,standard,none,54,64,65
43,male,group B,some college,free/reduced,completed,59,65,66
497,female,group D,some college,free/reduced,completed,59,78,76
792,male,group D,high school,free/reduced,none,66,74,69
515,female,group C,some high school,standard,completed,76,87,85
955,male,group E,associate's degree,standard,none,72,57,62
561,female,group C,some college,standard,none,63,74,74
917,female,group C,high school,standard,none,44,61,52
454,female,group C,associate's degree,free/reduced,none,53,61,62
387,female,group C,associate's degree,free/reduced,none,57,78,67
71,male,group D,some college,standard,completed,63,55,63
542,female,group C,associate's degree,standard,none,81,77,79
456,female,group D,bachelor's degree,standard,none,79,89,89
633,female,group C,high school,standard,none,75,88,85
431,female,group C,high school,standard,none,61,72,70
627,male,group D,associate's degree,standard,none,61,48,46
653,female,group A,associate's degree,standard,completed,65,70,74
728,female,group D,high school,free/reduced,none,73,92,84
264,male,group D,high school,standard,none,76,73,68
209,female,group B,some college,free/reduced,none,58,61,66
316,female,group D,master's degree,standard,completed,77,82,91
896,male,group B,high school,free/reduced,none,36,29,27
513,female,group B,some high school,standard,completed,54,61,62
313,female,group C,associate's degree,free/reduced,completed,68,67,69
534,male,group B,high school,standard,completed,73,69,68
829,male,group B,some high school,standard,none,68,54,53
319,female,group D,associate's degree,free/reduced,none,56,65,63
7,male,group B,some college,free/reduced,none,40,43,39
393,male,group C,associate's degree,standard,completed,57,54,56
141,female,group C,some college,free/reduced,none,59,62,64
86,female,group C,some college,free/reduced,none,76,83,88
864,male,group C,associate's degree,standard,none,97,93,91
478,female,group D,master's degree,standard,none,55,64,70
503,female,group E,associate's degree,standard,completed,95,89,92
753,female,group C,some high school,standard,completed,77,90,85
215,male,group B,some high school,standard,completed,84,83,75
580,female,group D,some high school,standard,none,81,97,96
562,male,group C,bachelor's degree,standard,completed,96,90,92
398,male,group B,some high school,standard,none,74,63,57
925,male,group E,some high school,standard,completed,74,64,60
668,male,group C,some college,standard,none,73,74,61
490,female,group A,associate's degree,free/reduced,none,65,85,76
252,female,group B,some high school,standard,completed,60,70,70
907,female,group D,some college,standard,completed,79,84,91
468,female,group A,high school,free/reduced,completed,77,88,85
914,female,group B,associate's degree,free/reduced,none,46,61,55
357,female,group C,some college,free/reduced,completed,42,66,69
254,male,group D,high school,standard,none,54,52,52
276,female,group C,some high school,standard,completed,85,92,93
178,female,group B,master's degree,free/reduced,completed,52,70,62
281,male,group D,high school,standard,none,45,48,46
390,male,group E,some high school,free/reduced,completed,73,67,59
508,male,group C,master's degree,standard,none,79,78,77
749,male,group B,some college,standard,completed,87,84,86
583,female,group D,associate's degree,standard,completed,73,75,80
972,female,group A,high school,free/reduced,completed,53,50,60
129,female,group A,bachelor's degree,standard,none,51,49,51
144,male,group D,some college,standard,none,88,73,78
960,female,group A,some college,standard,none,56,58,64
847,male,group D,high school,standard,none,64,54,50
645,female,group B,bachelor's degree,standard,completed,65,81,81
715,female,group B,associate's degree,free/reduced,completed,76,94,87
905,male,group D,some college,standard,none,88,77,77
767,male,group B,high school,standard,completed,76,62,60
72,female,group A,associate's degree,free/reduced,none,41,51,48
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
235,male,group D,associate's degree,standard,none,80,75,77
37,female,group D,some high school,free/reduced,none,50,64,59
